"Subject","Day","LGRD"
5,12,0.508333333333333
5,13,0.55
5,14,0.591666666666667
5,15,0.175
5,16,0.425
5,17,0.591666666666667
5,18,0.258333333333333
5,19,0.3
5,20,0.591666666666667
5,21,0.383333333333333
5,22,0.341666666666667
5,23,0.133333333333333
5,24,0.55
5,25,0.383333333333333
5,26,0.716666666666667
5,27,0.633333333333333
5,28,0.55
5,29,0.425
5,30,0.258333333333333
5,31,0.675
5,32,0.633333333333333
5,33,0.716666666666667
5,34,0.258333333333333
5,35,0.633333333333333
5,36,0.425
5,37,0.758333333333333
5,38,0.633333333333333
5,39,0.508333333333333
5,40,0.591666666666667
5,41,0.633333333333333
5,42,0.258333333333333
5,43,0.591666666666667
5,44,0.425
5,45,0.466666666666667
5,46,0.591666666666667
5,47,0.55
5,48,0.508333333333333
5,49,0.383333333333333
5,50,0.258333333333333
5,51,0.425
5,52,0.425
5,53,0.591666666666667
5,54,0.716666666666667
5,55,0.341666666666667
5,56,0.258333333333333
5,57,0.633333333333333
5,58,0.216666666666667
5,59,0.466666666666667
5,60,0.633333333333333
5,61,0.55
5,62,0.508333333333333
5,63,0.591666666666667
5,64,0.383333333333333
5,65,0.175
5,66,0.3
5,67,0.508333333333333
5,68,0.55
5,69,0.341666666666667
5,70,0.633333333333333
6,1,-0.2
6,2,0.258333333333333
6,3,-0.116666666666667
6,4,0.00833333333333333
6,5,-0.158333333333333
6,6,0.175
6,7,0.0916666666666667
6,8,0.216666666666667
6,9,0.383333333333333
6,10,0.133333333333333
6,11,0.0916666666666667
6,12,0.0916666666666667
6,13,0.3
6,14,0.175
6,15,0.341666666666667
6,16,-0.075
6,17,0.508333333333333
6,18,0.00833333333333333
6,19,0.00833333333333333
6,20,0.425
6,21,0.466666666666667
6,22,0.133333333333333
6,23,0.258333333333333
6,24,0.0916666666666667
6,25,0.216666666666667
6,26,0.133333333333333
6,27,0.175
6,28,0.175
6,29,0.175
6,30,0.175
6,31,0.00833333333333333
6,32,0.216666666666667
6,33,0.341666666666667
6,34,0.3
6,35,0.00833333333333333
6,36,0.341666666666667
6,37,0.133333333333333
6,38,0.05
6,39,0.216666666666667
6,40,0.175
6,41,0.258333333333333
6,42,0.55
6,43,0.175
6,44,0.175
6,45,0.05
6,46,0.00833333333333333
6,47,0.341666666666667
6,48,0.383333333333333
6,49,0.258333333333333
6,50,0.175
6,51,0.341666666666667
6,52,0.425
6,53,0.216666666666667
6,54,0.341666666666667
6,55,0.216666666666667
6,56,0.258333333333333
6,57,0.0916666666666667
6,58,0.175
6,59,0.341666666666667
6,60,0.175
6,61,0.55
6,62,0.716666666666667
6,63,0.05
6,64,0.133333333333333
6,65,0.0916666666666667
6,66,0.425
6,67,0.508333333333333
6,68,0.3
6,69,0.0916666666666667
6,70,0.508333333333333
7,1,0.05
7,2,0.00833333333333333
7,3,-0.0333333333333334
7,4,0.175
7,5,-0.075
7,6,0.383333333333333
7,7,-0.075
7,8,0.216666666666667
7,9,0.175
7,10,0.175
7,11,0.216666666666667
7,12,0.258333333333333
7,13,0.258333333333333
7,14,0.216666666666667
7,15,0.0916666666666667
7,16,0.341666666666667
7,17,0.216666666666667
7,18,0.175
7,19,-0.0333333333333334
7,20,0.341666666666667
7,21,0.3
7,22,-0.116666666666667
7,23,0.175
7,24,0.508333333333333
7,25,0.0916666666666667
7,26,0.00833333333333333
7,27,0.258333333333333
7,28,0.175
7,29,0.0916666666666667
7,30,0.133333333333333
7,31,-0.0333333333333334
7,32,-0.0333333333333334
7,33,0.133333333333333
7,34,0.258333333333333
7,35,0.133333333333333
7,36,0.258333333333333
7,37,0.05
7,38,0.383333333333333
7,39,-0.0333333333333334
7,40,0.05
7,41,0.0916666666666667
7,42,0.383333333333333
7,43,0.133333333333333
7,44,0.3
7,45,0.341666666666667
7,46,0.175
7,47,0.175
7,48,0.258333333333333
7,49,0.00833333333333333
7,50,0.3
7,51,-0.116666666666667
7,52,0.05
7,53,0.00833333333333333
7,54,0.258333333333333
7,55,0.133333333333333
7,56,0.133333333333333
7,57,0.466666666666667
7,58,0.466666666666667
7,59,0.05
7,60,0.00833333333333333
7,61,-0.0333333333333334
7,62,0.05
7,63,-0.0333333333333334
7,64,0.425
7,65,0.258333333333333
7,66,0.175
7,67,0.00833333333333333
7,68,0.175
7,69,0.3
7,70,-0.0333333333333334
8,1,0.0916666666666667
